Clock(s)	TappedContent	OrderOfKeyTapped
822.729	h	2
823.214	e	3
823.671	space	4
824.067	c	5
824.516	h	6
825.047	a	7
825.609	m	8
826.026	b	9
826.487	e	10
826.845	r	11
827.302	space	12
827.737	m	13
828.299	a	14
828.872	k	15
829.415	e	16
829.773	s	17
830.181	space	18
830.638	i	19
831.047	m	20
831.47	p	21
831.828	o	22
832.359	r	23
832.717	t	24
833.203	a	25
833.743	n	26
834.152	t	27
834.609	space	28
835.03	d	29
835.388	e	30
835.797	c	31
836.302	i	32
836.845	s	33
837.388	i	34
837.746	o	35
838.169	n	36
838.683	s	37
839.091	space	38
839.654	send	39
842.314	h	1
842.799	e	2
843.183	a	3
843.6	d	4
844.008	space	5
844.477	s	6
844.98	h	7
845.424	o	8
845.841	u	9
846.284	l	10
846.838	d	11
847.196	e	12
847.554	r	13
847.938	s	14
848.346	space	15
848.808	k	16
849.199	n	17
849.697	e	18
849.905	e	19
850.263	s	20
850.671	space	21
851.175	a	22
851.715	n	23
852.197	d	24
852.605	space	25
853.062	t	26
853.565	o	27
854.119	e	28
854.477	s	29
854.885	space	30
855.448	send	31
862.388	w	1
862.746	e	2
863.203	space	3
863.689	w	4
864.047	e	5
864.545	n	6
864.954	t	7
865.411	space	8
865.82	g	9
866.203	r	10
866.734	o	11
867.267	c	12
867.676	e	13
868.034	r	14
868.451	y	15
868.908	space	16
869.377	s	17
869.88	h	18
870.324	o	19
870.682	p	20
870.89	p	21
871.307	i	22
871.716	n	23
872.091	g	24
872.5	space	25
873.063	send	26
882.381	s	1
882.825	t	2
883.311	a	3
883.825	b	4
884.248	i	5
884.631	l	6
885.014	i	7
885.481	t	8
885.839	y	9
886.296	space	10
886.777	o	11
887.295	f	12
887.704	space	13
888.161	t	14
888.544	h	15
889.029	e	16
889.486	space	17
889.855	n	18
890.395	a	19
890.881	t	20
891.348	i	21
891.706	o	22
892.129	n	23
892.487	space	24
893.05	send	25
902.353	f	1
902.884	l	2
903.473	a	3
903.831	s	4
904.334	h	5
904.718	i	6
905.127	n	7
905.502	g	8
905.911	space	9
906.368	r	10
906.726	e	11
907.084	d	12
907.492	space	13
907.991	l	14
908.374	i	15
908.818	g	16
909.176	h	17
909.559	t	18
910.016	space	19
910.451	m	20
910.978	e	21
911.362	a	22
911.902	n	23
912.416	s	24
912.824	space	25
913.293	s	26
913.737	t	27
914.24	o	28
914.598	p	29
915.053	space	30
915.616	send	31
922.36	c	1
922.893	o	2
923.424	r	3
923.632	r	4
923.99	e	5
924.399	c	6
924.808	t	7
925.265	space	8
925.722	y	9
926.189	o	10
926.606	u	11
927.073	r	12
927.53	space	13
927.951	d	14
928.469	i	15
928.974	c	16
929.383	t	17
929.85	i	18
930.208	o	19
930.631	n	20
930.989	space	21
931.446	i	22
931.855	m	23
932.063	m	24
932.59	e	25
932.948	d	26
933.466	i	27
934.03	a	28
934.516	t	29
934.933	e	30
935.497	l	31
935.982	y	32
936.439	space	33
937.002	send	34
942.289	j	1
942.647	u	2
943.165	s	3
943.609	t	4
944.066	space	5
944.523	i	6
944.932	n	7
945.29	space	8
945.747	t	9
946.214	i	10
946.623	m	11
947.15	e	12
947.607	space	13
948.016	f	14
948.534	o	15
949.065	r	16
949.522	space	17
949.979	t	18
950.362	h	19
950.847	e	20
951.304	space	21
951.817	p	22
952.413	a	23
952.857	r	24
953.215	t	25
953.573	y	26
954.03	space	27
954.593	send	28
962.368	d	1
962.911	o	2
963.367	space	3
963.736	n	4
964.159	o	5
964.662	t	6
965.119	space	7
965.618	l	8
966.001	i	9
966.532	e	10
966.989	space	11
967.446	i	12
967.855	n	13
968.213	space	14
968.609	c	15
969.142	o	16
969.559	u	17
970.026	r	18
970.384	t	19
970.841	space	20
971.322	o	21
971.853	r	22
972.31	space	23
972.767	e	24
973.331	l	25
973.904	s	26
974.262	e	27
974.719	space	28
975.282	send	29
982.388	w	1
982.746	e	2
983.203	space	3
983.638	m	4
984.047	u	5
984.565	s	6
985.009	t	7
985.466	space	8
985.923	r	9
986.281	e	10
986.639	d	11
987.182	o	12
987.599	u	13
988.008	b	14
988.497	l	15
989.061	e	16
989.518	space	17
989.999	o	18
990.416	u	19
990.883	r	20
991.34	space	21
991.797	e	22
992.18	f	23
992.388	f	24
992.906	o	25
993.437	r	26
993.795	t	27
994.239	s	28
994.647	space	29
995.21	send	30
1002.346	t	1
1002.729	h	2
1003.26	a	3
1003.746	t	4
1004.203	space	5
1004.66	r	6
1005.018	e	7
1005.401	f	8
1005.784	e	9
1006.142	r	10
1006.5	e	11
1006.998	n	12
1007.48	d	13
1007.966	u	14
1008.375	m	15
1008.733	space	16
1009.237	a	17
1009.595	s	18
1010.149	k	19
1010.692	e	20
1011.05	d	21
1011.458	space	22
1011.962	a	23
1012.369	space	24
1012.838	s	25
1013.381	i	26
1013.764	l	27
1013.972	l	28
1014.457	y	29
1014.914	space	30
1015.431	q	31
1015.985	u	32
1016.488	e	33
1016.846	s	34
1017.29	t	35
1017.757	i	36
1018.115	o	37
1018.538	n	38
1018.896	space	39
1019.459	send	40
1022.376	e	1
1022.94	l	2
1023.504	e	3
1023.913	c	4
1024.322	t	5
1024.789	i	6
1025.147	o	7
1025.57	n	8
1026.084	s	9
1026.492	space	10
1026.85	b	11
1027.259	r	12
1027.762	i	13
1028.171	n	14
1028.546	g	15
1028.955	space	16
1029.436	o	17
1029.853	u	18
1030.27	t	19
1030.727	space	20
1031.184	t	21
1031.567	h	22
1032.052	e	23
1032.509	space	24
1032.867	b	25
1033.328	e	26
1033.686	s	27
1034.13	t	28
1034.587	space	29
1035.15	send	30
1042.306	m	1
1042.868	a	2
1043.307	c	3
1043.756	h	4
1044.14	i	5
1044.549	n	6
1045.047	e	7
1045.405	r	8
1045.822	y	9
1046.279	space	10
1046.736	i	11
1047.279	s	12
1047.687	space	13
1048.144	t	14
1048.647	o	15
1048.855	o	16
1049.311	space	17
1049.707	c	18
1050.24	o	19
1050.649	m	20
1051.072	p	21
1051.43	l	22
1051.813	i	23
1052.318	c	24
1052.757	a	25
1053.243	t	26
1053.66	e	27
1054.018	d	28
1054.426	space	29
1054.989	send	30
